company,description,country,city,found_date,size_min,size_max
ACT Advanced Computer Technology,"In 1988, Advanced Computer Technology (ACT) was launched as Integrator IT Solution Provider Company. ACT was established among the early ICT companies in Egypt. Since then, ACT has had a leading role in providing the Egyptian market with state of the art solutions and products. We have more than 400 qualified and trained employee, 50% of them working in Service department with ITIL (Infrastructure Library) standards. ACT serves and offers technology and consultancy for more than 800 cu ... See More",Egypt,Cairo,2016-01-01,,
intella,"Intella is a research-tech company that provides real-time insights at the speed of the on-demand economy. With a vision to disrupt an industry that has been waiting for a while now, our mission is to make market research & analytics faster, cheaper, and accessible for all types of businesses, while allowing consumers to tap into their exact target audiences. ",Egypt,,,,
Algoriza,"Algoriza is a leading software house specialized in Software Development and Information Technology Services.

What we do?
We run four business lines:
- Web and Mobile development
- Hybrid Offshore Delivery Model
- Artificial Intelligence
- Digital Marketing.

Our philosophy is to deliver the products in an effective and efficient manner at very competitive rate.

Our teams are working to serve different regions such as United Arab Emirates, Saudi Arabia and Egypt with a deep experienc ... See More",Egypt,Giza,2021-01-01,,
eSense,,Egypt,Giza,2011-01-01,,
Asset Technology Group,"ASSET Technology Group is a leader in providing solutions that enable businesses and service providers to transform and automate their daily operations. We are committed to enhancing customer value by delivering the most trusted, advanced and dependable solutions in the market.

Recognized for robust quality, innovative designs and industry leadership, ASSET Technology focuses on creating customer value through a bunch of high quality technology solutions for a variety of markets inclu ... See More",Jordan,,,,
Kgroup,"Al Khlood Group has been working to increase direct sales ratio from 10% to 40 % through expanding investment by trucks and trip path, 
by one truck.
We started our distribution journey since 31 years ago, and now we are one of the biggest companies in the field of distribution for FMCG 
we are an exclusive distributor for almost 13 brand ( Chipsy, Pepsi, Beyti, Ole, ISIS, Almarai, Brunch, Rich bake , Zeina, Al Ahram, Bisco Misr , Nestle , Madar) by almost 1000 truck in 8  The governor ... See More",Egypt,Cairo,,,
Zewail City,"Zewail City of Science and Technology is a nonprofit, independent institution of learning, research and innovation. The concept of the City was proposed in 1999 and its cornerstone laid on January 1, 2000. After numerous delays, the project was revived by the Egyptian cabinet's decree on May 11, 2011 following the January 25 Revolution. The Cabinet labeled it a National Project for Scientific Renaissance and named it Zewail City of Science and Technology. On December 20, 2012, a specia ... See More",Egypt,,1984-01-01,1000,
Sio365,,Egypt,Giza,2011-01-01,,
Technotown,,United Arab Emirates,Dubai,,,
Teachanywhere,,Egypt,Cairo,,,
Breadfast,"Household needs, from bread to everything.
Fast & smooth shopping experience for the household. ",United Arab Emirates,Dubai,,,
Smart Cards application,,Egypt,,2017-01-01,,
Cepack,"At CEPACK our knowledge and capabilities have been growing rapidly and continue to do since we started manufacturing corrugated products at 1998.

At CEPACK our teams with our ever expanding knowledge and with our continues strive we seek the best packaging solutions to ensure our client’s requirements are met as well as our packaging performance and costs are kept to the minimum to achieve and end result that makes our clients and ourselves proud.

We provide a creative and innovative ... See More",Egypt,Giza,,,
Informatique Education,"Informatqiue EDUCATION is one of the leading state-of-the-art software solutions/ service provider in Egypt, we process a wide segment of market share based on our solid, reliable, real-time applications that assist, benefit and ensure educational institutions efficient and effective operation. We deliver our solution and services through empowered team of professionals, where all the members are encouraged to innovate, explore and take responsibility for their own growth both technica ... See More",Egypt,Sharqia,1998-01-01,1000,
3D Diagnostix,"3D Diagnostix started the digital CT scan conversion business for dentistry in 2005, supporting the CT imaging department for a leading dental school with 3D reconstructions of oral maxillofacial cases. This need arose from a desire from dental clinicians to advance diagnostics and planning for dental implants and other surgical cases.
 ",Egypt,Cairo,2000-01-01,,
Royal Cyber,,Egypt,Cairo,2005-01-01,,
conveyou,"Here at Conveyou, we are dedicated to the art of conveying solutions between Our client and the delivery team
whether we are the delivery arm or through one of our partners. We believe that if the project objectives and
expected results are not reflected well in the required solution and not well communicated with the delivery
team, all projects will take longer time and unexpected results. ",India,,,,
etmana,Etmana is an online retail shop created to attain everyone's wishes by turning them into a reality. ,Egypt,Cairo,2020-01-01,,
VAS Integrated Solutions,,Egypt,Cairo,2021-01-01,,
MenaBev Jobs,,Egypt,Cairo,,,
NOMAC,,Saudi Arabia,Jeddah,,,
Raya Holding for Financial Investments,,Saudi Arabia,Riyadh,,,
Alert International,,Egypt,Cairo,,,
Olivery,"Olivery is a leading logistics solutions provider, operating in 7 markets across the MENA region. With over 150 clients from the logistics business, we specialize in automating and enhancing productivity for logistics companies. Our focus is on building the right workflow to enable companies to do more with less effort and save money. ",Kuwait,Kuwait City,,,
International Advanced,"ZKTeco Co., Ltd (hereinafter referred to as ZKTeco) is a globally renowned enterprise with biometric verifications as its core techniques, which dedicates itself in the three industries including Biometric Verification Core Technique Empowerment, Smart Entrance & Exit “Person + Car + Object” Software Platform Empowerment, and ZKTeco+ Smart Office Cloud Platform Empowerment, and providing total services to the users of global public services, enterprise-level users and personal users.

 ... See More",Palestine,Jerusalem,,,
3S Software,"@3S Software we focus on realizing our customers' business values in the most efficient and professional way possible, through our diverse expertise and exceptional track-record since 2006.
We specialize in custom solutions development for the Government and Sports sectors, in addition to integrated digital transformation solutions with over 11 applications, alongside credible devices from 3S Security.
We are proud of our strategic partnership with Microsoft, and Huawei, and we are gro ... See More",Egypt,Cairo,2010-01-01,,
Alexandria Business Association- SMEs Project,بدأت جمعية رجال أعمال أسكندرية – مشروع تنمية المنشآت الصغيرة والحرفية نشاطها فى دعم وتنمية المنشآت الصغيرة ومتناهية الصغر التى لم تكن قادرة على الحصول على قروض من خلال النظام المصرفى التقليدى فى عام 1990. و تسعى الجمعية من خلال رسالتها الى تقديم المنتجات المالية وغير المالية لتلبية احتياجات العملاء الأكثر احتياجا من الناشطين اقتصاديا وأصحاب المشروعات الناشئة لتحقيق حياة أفضل لهم ولأسرهم مع المحافظة على توازن الأداء الاقتصادى والاجتماعي . وتقدم الجمعية خدماتها فى 18 محافظة من خلال (107ف ... See More,Egypt,Cairo,2006-01-01,,
El Banna Group Company,"El Banna Group is one of the largest family investments in Egypt and The Middle East with its headquarters located in 10th Of Ramadan City, Egypt. El Banna Group was originally established in 1974 and initially specialized in poultry investment. Today, El Banna Group has been expanding its network across Egypt in more than seven industries: poultry, citrus exports, electricity distribution, pharmaceutical products, paper and cardboard manufacturing, and land reclamation ",Egypt,Alexandria,1990-01-01,1000,
Wood,,Egypt,Sharqia,,1000,
Raytheon,,United Arab Emirates,Dubai,,,
UrbaCon Contracting & Trading Company,,Saudi Arabia,Jeddah,,,
Alexandria For Programming,"Alexandria for programming is a mobile app development company located in Alexandria, it was established in 2008, and we have 14+ years of experience.

You can see our introduction video here :
https://www.youtube.com/watch?v=NwtAw0jyc6M&t=3s ",Qatar,Doha,,,
Dimofinf Operations Center,"Dimofinf Inc provides a wide variety of IT solutions including shared hosting, dedicated servers, web design/developing, E-marketing, and Dimofinf CMS, the leading Arabic content management system. Dimofinf's highly experienced staff of IT engineers provides 24/7/365 support. 

More than 20,000 customers, from government agencies to individuals, currently benefit from Dimofinf services and solutions.
 ",Egypt,Alexandria,2008-01-01,,
McKinsey & Company,,Egypt,Cairo,1998-01-01,,
MTS-IT,"MTS-IT is a system integrator, software house, and IT consultancy firm that has been in business since 1985 , Our 35 years of experience had qualify us to be leader provider of tailored software solutions in Egypt, Middle East and Africa.

We are dedicated to deliver fully integrated customized software solutions that suit our clients’ specific needs.

 Our S/W products are modular, and are tested according to the international standard.  
And our development team has gained a great de ... See More",Saudi Arabia,Riyadh,,,
Career Raiser,,Egypt,Cairo,2004-01-01,,
CommuniCare Health,,Qatar,Doha,,,
EducoHire,,Egypt,Alexandria,,,
Optasia,"Optasia is a premium Fintech company, developing Mobile Value Added Services that ,includes Virtual Airtime Distribution, Mobile Financial, Mobile Advertising and Content services for Mobile Operators, helping them to increase revenue. Optasia has wide experience in emerging markets, strong presence in more than 15 countries and is expanding to new markets globally. ",United Arab Emirates,Dubai,,,
Octane solutions,"Get access to Octane's 650+ station network all over Egypt and fuel your fleet in a cashless, controlled, and streamlined way. ",Egypt,Cairo,,,
FlairsTech,"FlairsTech is an international software services organization, providing professional software services to clients globally. We serve 2500+ customers worldwide offering different services and solutions with experience in the international market.
We provide a flexible, supportive, and energetic working environment for sustaining the topmost productivity and peak efficiency of our co-workers, guaranteeing a rewarding career path and work-life balance. We recruit top talents to join our  ... See More",Egypt,Cairo,,,
Taffi Inc.,,Egypt,Cairo,,,
Caduceus Lane,"Caduceus Lane is a leading entrepreneurial company that serves specialized strategic marketing and corporate medical consultation for healthcare domains and pharmaceuticals industries, employing a ‘pioneer networking business model’ that would create high-quality marketing solutions tailored for the extended networks across MENA region. ",Saudi Arabia,Riyadh,,,
Arabia for Information Technology,"نطوع التقنية لخدمة تراثنا العربي والإسلامي
نساهم بمنتجاتنا بخدمة ديننا ولغتنا وتاريخنا وحضارتنا، ونسعى من خلالها أن نترك انطباعًا حسنًا في أعين الآخرين

عبر السنين كوَّنا منظومة متكاملة من الباحثين اللغويين والشرعيين وخبراء تقنيين ومصممين، لنصنع منتجات يشيد الناسُ بجودتها تقنيًا وبمحتواها علميًا، لتكون الخَيار الأمثل للعامة ولطلبة العلم خاصة حول العالم ",Egypt,Alexandria,,,
Asass,"Early in 2011, ASASS was established as a General Contracting Company focused on turnkey projects covering various sectors from Residential to Administration and Commercial.

In 2019, Asass Construction looked forward to expanding in AFRICA especially in Kenya; ASASS-ETD was established as a new branch in Kenya focused in contracting and investments to beat the market benchmarks in quality, customer satisfaction, and timely delivery.

The company’s expertise developed through time from ... See More",Egypt,Cairo,2002-01-01,,
Amer Vision Group,"AMER Vision Group is a leading group includes 10 companies. Since 2012, We have been moving constructions field forward, from operating 1successful company to Constructing, designing and managing remarkable projects in Egypt. ",Egypt,Cairo,2011-01-01,,
Millensys,"MILLENSYS is dedicated to provide a state of the art solutions for the healthcare , industrial and business IT sectors, integrating multiple systems that help multiple organizations, business owners and health care professionals to run their daily business in a fast, safe and professional way to be able to achieve growth, satisfy their customers and increase their profits.

These Solutions Range between cloud PACS / RIS and EMR / EHR applications for the healthcare and medical imaging  ... See More",Egypt,Cairo,2012-01-01,,
Weill Cornell Medicine-Qatar,,Egypt,Cairo,2008-01-01,,
Ministry of Defense -Medical Services Directorate,,Qatar,Doha,,,
Servmix,https://www.servmix.com/about/ ,Saudi Arabia,Jubail,,,
classera,"Classera, one of the fastest growing education technology companies, brings together the
best learning management system with Gamification, Social Learning and AI to improve
student performance, foster collaboration, and personalize learning in K-12 , Higher
Education and Corporate Training. Millions of students, and administrators worldwide use
Classera solutions to advance what is possible in education. As Classera Egypt sales
manager, you will be working in the fastest and biggest e ... See More",Egypt,Cairo,2021-01-01,,
GoodsMart,"GoodsMart makes shopping easier and more convenient than ever.

For the first time in Egypt, order your daily home essentials and groceries and have them delivered to your doorstep on a daily basis, or up to your convenient schedule without a single knock on your door. ",Egypt,Cairo,2017-01-01,,
Agolo Egypt,,Egypt,Giza,2012-01-01,,
eVision,"eVision is an emerging leader in IT powered reconciliation products for the financial services industry in MENA. It’s Bingo Suite®  of Financial Applications are helping financial institutions to enhance their competitive advantage through

High degrees of data integrity, operational efficiency and risk mitigation - essential ingredients for a faster, transparent and more accurate financial close
Faster exception management through real-time access to transaction data
Enhanced producti ... See More",Egypt,,,,
SellEnvo,"At SellEnvo, we’re a company that is passionate about helping e-commerce businesses grow and thrive, Our team understands the challenges and struggles that come with managing a successful online business, and we’re dedicated to providing the tools and resources you need to streamline your operations, increase your profits, and reach your goals. We take pride in our ability to help our clients succeed, and we’re committed to providing exceptional customer service and support. Whether yo ... See More",Egypt,Cairo,,,
Kyan Labs,Startup company working in IT/software development field ,Netherlands,Rotterdam,,,
Al Ahly Momkn for e-payment,"One of NBE's company working in the field of information technology and communications using the latest technologies to facilitate payments in an easy, fast and safe way to our clients and through an integrated set of services such as recharging prepaid cellphones and postpaid bills and other bills like internet, electricity, water and e-governmental services including general directorate of traffic ",Egypt,Cairo,,,
Allsopp & Allsopp Recruitment,,Egypt,Cairo,2011-01-01,,
Jacobs Engineering Group Inc,,Saudi Arabia,Riyadh,,,
BitOasis,,United Arab Emirates,Dubai,,,
Bureau Veritas Group,,United Arab Emirates,Dubai,,,
saab group,,Saudi Arabia,Riyadh,,,
AECOM,,United Arab Emirates,Dubai,,,
"Fortinet, Inc",,Saudi Arabia,Riyadh,,,
Jordan Dreams,,Saudi Arabia,Riyadh,,,
Oracle - Egypt,,United Arab Emirates,Dubai,,,
"Halliburton Energy Services, Inc.",,Kuwait,Kuwait City,,,
Suraasa,,Egypt,Cairo,,,
Doka USA LTD,,United Arab Emirates,Dubai,,,
Nathan & Nathan,,Qatar,Doha,,,
FWS Group,,United Arab Emirates,Dubai,,,
"SABIS® Network Schools UAE, Oman, Qatar and Bahrain",,United Arab Emirates,Dubai,,,
NotionAce Consulting FZE,,United Arab Emirates,Dubai,,,
ERP-Bank,We are a team of passionate people whose goal is to improve everyone's life through disruptive products. We build great products to solve your business problems. Our products are designed for small to medium size companies willing to optimize their performance. ,United Arab Emirates,Dubai,,,
Persistence Recruitment,,Egypt,Alexandria,,,
Jumia Technologies AG,,United Arab Emirates,Dubai,,,
Arabic Localizer,"Arabic Localizer is a localization company that is laser-focused on translating unidirectionally from multiple source languages to the Arabic language. We are quality driven and dedicated to providing our clients with excellent service through our rigorous operational processes.

Arabic Localizer was founded to fill a gap in service in the Arabic language localization market. We discovered that even though people have been localizing content to Arabic for several years now, the average ... See More",Egypt,Cairo,,,
Galaxy Consulting Solutions (G.C.S),"Galaxy is a rising Egyptian professional Business Development & Solutions provider Company works inside and outside Egypt,

We strive to enhance every aspect of our services and solutions through adapting and maintain the highest quality standards to strengthen our services and Solutions. ",Egypt,Giza,2009-01-01,,
softprograms,"SoftPrograms Technology is a customer-centric Incorporation, with a main focus on providing exceptional quality IT solutions & Services. As its name implies, the High Quality is one of the main pillars of SoftPrograms Technology Company. 
SoftPrograms Technology is a newly established Enterprise as Egyptian A limited liability company, It was established in the begin of 2020, with the corporate headquarters located in Giza, Egypt. 
SoftPrograms Technology staff has solid expertise in t ... See More",Egypt,Cairo,,,
S.C. Johnson & Son Inc,,Egypt,Cairo,,,
Jacobs Technology Inc.,,Egypt,Cairo,,,
Qureos,,Saudi Arabia,Riyadh,,,
NMC Healthcare,,Saudi Arabia,Riyadh,,,
Loyapro,,United Arab Emirates,Sharjah,,,
Petrofac,,Saudi Arabia,,,,
Giza Arabia Systems,,United Arab Emirates,Dubai,,,
Almoosa Specialist Hospital,,Egypt,Cairo,,,
Al Futtaim Group - Other locations,,Saudi Arabia,Riyadh,,,
Hawk-Eye Innovations Ltd,,United Arab Emirates,Dubai,,,
ADCB Abu Dhabi Commercial Bank,,Saudi Arabia,Riyadh,,,
Beach Rotana,,United Arab Emirates,Abu Dhabi,,,
IBM WTC Egypt,,United Arab Emirates,Abu Dhabi,,,
Villa Rotana,,Egypt,Cairo,,,
Etihad Airways,,United Arab Emirates,Dubai,,,
UHRS,,United Arab Emirates,Abu Dhabi,,,
Abu Dhabi School of Management,,United Arab Emirates,Dubai,,,
Tencent,,United Arab Emirates,Dubai,,,
"Three Saints Bay, LLC",,United Arab Emirates,Dubai,,,
Cargoes,,Kuwait,Kuwait City,,,
AWS EMEA SARL (Saudi Arabia Branch),,Saudi Arabia,Jeddah,,,
Sutherland,"As a process transformation company, Sutherland rethinks and rebuilds processes for the digital age by combining the speed and insight of design thinking with the scale and accuracy of data analytics. We have been helping customers, across industries from financial services to health care, achieve greater agility through transformed and automated customer experiences for over 30 years.
Headquartered in Rochester, N.Y., Sutherland employs thousands of professionals spanning 19 countries ... See More",Saudi Arabia,Riyadh,,,
Sceel.io,"At sceel.io, our mission is to help businesses scale and succeed through high-quality software development and staff augmentation services. Established in 2018 as a subsidiary of ETECTURE, we now offer our services to businesses worldwide.

In 2021, sceel.io and ETECTURE became part of the Swedish Sigma Technology Group, strengthening our capabilities. As part of a large enterprise, we offer the flexibility of a small company, combined with the resources of a large enterprise.

Whether ... See More",Egypt,Alexandria,1986-01-01,1000,
DP World,,Egypt,Cairo,2018-01-01,,
Help AG,,United Arab Emirates,Dubai,,,
Foreground Consultancy,,United Arab Emirates,Dubai,,,
BayanTech,,Saudi Arabia,Riyadh,,,
BD SELECT,,Egypt,Cairo,,,
Eastern Health Cluster,,Qatar,Doha,,,
Top Notch Consultancy,,Saudi Arabia,Dammam,,,
Transguard group,,Qatar,Doha,,,
People One,,United Arab Emirates,Sharjah,,,
Saudi Petroleum Services Polytechnic,,Qatar,Doha,,,
Nile Creations,"Nile Creations is a creative digital marketing communications agency works above, below and through the line. We are specialized in E-Marketing Communications, Web Design & Development, E-Commerce Solutions, Graphic Design and Commercial Photography. Nile Creations uses the web to shape your business, We build and promote your brand online.

Nile Creations founded in 2003 as a web design and development agency and evolved to provide full range of integrated marketing communications ser ... See More",Saudi Arabia,Dammam,,,
34ML,"34ML is an Egyptian based Software Development House founded by young Egyptian entrepreneurs. Given the market’s nature of low supply and uneasy to locate qualified Graphic & Web Designers, the founders were passionate to create a company that provides a solution for this field. 34ML ranges widely in its available services, providing its partners and clients with not only development for unique websites and mobile applications but also Business & Marketing insights. In building valuabl ... See More",Egypt,Cairo,2003-01-01,,
Mekdam Holding Group,,Egypt,Cairo,,,
QARA,"Qara is a digital ecosystem that enables producers to authenticate, trace, connect, promote, and sell directly to business users.

Qara aspires to become the multi-sector business-to-business marketplace for commodities and commoditized goods in the region. ",Qatar,Doha,,,
