job_title,description,requirements,post_date,viewed,considered,experience_min,experience_max,career_level,education_level,salary_min,salary_max,hidden_salary,gender,vacancies,company_name,country,city,district
C++ / Qt Developer,"We are looking for a C++ / Qt Developer with the following requirements : As a frontend/backend software developer, you will lead and participate in developing professional desktop applications for our products as well as all software development-related aspects of our technical operations and infrastructure. A motivated candidate.experience in C++, Qt, My SQL,  Linux ""Ubuntu""Fluent in English. You should be able to create/build Qt applications with database support (MYSQL) before applying for the interview.","experience in C, C++, and Python.experience in C++ desktop application frameworks such as Qt Creator, Visual Studio …etc. Experience with using software development tools and methods (source control, unit testing, bug tracking, continuous integration …etc). Concrete understanding of object-oriented design and programming. Strong experience in My SQL and SQL Server databases. Expertise in HTML, XML, Java Script, and JQuery. Solid expertise with GIT or equivalent source control systems. Solid expertise in Linux. Good knowledge of business processes. Solid experience with ORM (Object Relational Mapper) libraries such as SQL Alchemy. Able to integrate multiple data sources/databases into one system. Good understanding of accessibility and security compliance. Solid knowledge of user authentication and authorization between multiple systems, servers, and environments. Solid experience in design principles behind scalable applications, data structures, and APIs. Good English written and oral communication. Fresh graduates and zero-experience applicants will go through an internship before being accepted into the position.",2023-11-01,1,0,0,7,Entry Level (Junior Level / Fresh Grad),,,,True,,1,Fruitful Solutions,Egypt,Cairo,New Nozha
Software Development Team Leader,Create an inspiring team environment with an open communication culture Set clear team goals Delegate tasks and set deadlines Oversee day-to-day operation Monitor team performance and report on metrics Motivate team members Recognize high performance and reward accomplishments Encourage creativity and risk-taking Suggest and organize team building activities,Proven work experience as a team leader or supervisor In-depth knowledge of Software development technologies and methodologies Aware about Dev Ops to Handel tasks source code and deployment  Excellent communication and leadership skills Organizational and time-management skillspreviews work in logistics are preferred Aware in . NET framework are preferred,2023-11-01,4,0,5,10,"Senior Management (CEO, GM, Director, Head)",,,,True,,1,Confidential,Egypt,Cairo,
Application Support - Microsoft dynamic Ax,"Providing technical support for Microsoft Dynamics AX 2012to business users via IT tickets and other communication channels. Analyzing, classifying, and prioritizing tickets based on severity and impact. Troubleshooting and resolving technical issues related to Microsoft Dynamics AX 2012. Collaborating with cross-functional teams to resolve complex issues. Escalating issues to higher levels of support when necessary. Documenting issues and resolutions in a knowledge base for future reference. Participating in business testing for the new released features. Understanding the overlapping and integrations rules among the various applications& corporate solutions (Sales Force Automation, Ecommerce, Retail, CRM, HRMS …etc.). Monitoring the corporate applications to ensure service availability 24/7Recording and track incidents, complaints or requests. Skills to write Change Requests Documents for AX developers","Previous experience in:1- Technologies& Concepts: Microsoft Dynamics AX 2012 functional support proven experience is a must. MS SQL Server development is a must. ERP (AX 2012) modules good knowledge: AP, AR, GL, Budgeting, Cash-Banks, Product Info Management, Inventory Management, Procurement, Workflows, Fixed Assets& System Administration. Business Intelligence (Management Reporter 2012) is a plus. AX-Retail 2012 is a plus. RMS 2008 knowledge is a plus. Financial concepts knowledge is highly preferred. Agile Methodologies.2- Used Tools: Microsoft Dynamics AX 2012SQL Server 2008 to 2019AOT 2012. MS Power-BI.",2023-11-01,0,0,1,5,Entry Level (Junior Level / Fresh Grad),,,,True,,1,Sky Distribution,Egypt,Giza,Sheikh Zayed
Senior IT Infrastructure Engineer,"-Candidate will be responsible for carrying out Oracle database fresh installation, maintenance, and upgrade, in addition to Installation and configuration/upgrade of HL7 interfaces, and performing customization on user interfaces, database triggers, and tables. Skills:- Operating systems: Windows Servers, Linux and VMWARE Hypervisor- Oracle DB- SQL DB- Programming languages, Javascript, Visual Basic, C#, and C++- Web integration skills, API, Web services, FHIR, HL7","- Minimum 2 to 5 years of Healthcare IT work experience.- Healthcare Integration knowledge and global standards like HL7, DICOM- Advanced level of communication in English language reading, speaking, and writing.",2023-11-01,,,2,5,Experienced (Non-Manager),Bachelor's Degree,,,True,,1,Confidential,Egypt,Cairo,
Senior Scrum Master,"We are looking for a senior scrum master to help lead the organization's agile transformation strategy. Scrum masters will be critical in ensuring that development teams and scrum masters follow  Agile framework principles and practices, mentoring and motivating teams to improve processes, facilitating agile ceremonies and decision-making processes, and removing team impediments. To be successful in this role as a senior scrum master, you should have past expertise with agile transformations, a strong understanding of agile methods, and the ability to effectively lead and mentor development teams. A great scrum master should have strong interpersonal, project management, and problem-solving abilities. Scrum Master Key Responsibilities: Scrum Master Leadership: Provide leadership to multiple scrum teams and support them in adopting and adhering to Agile principles, values, and practices. Foster a culture of continuous improvement and self-organization within the teams, helping them take ownership of their processes and outcomes. Act as a role model for Agile values and behaviors, setting a high standard for the organization. Agile Transformation and Framework Implementation: Support in the organisation agile transformation strategy Ensure the effective implementation of the agile framework principles and practices across the organization, including the coordination and alignment of Agile Release Trains (ARTs) with portfolio objectives. Collaborate with Portfolio Managers, Product Owners, and business team roles to ensure consistent and synchronized delivery. Facilitation: Facilitate various Scrum ceremonies, Daily stand-ups, Sprint planning, retrospective, and Quarterly Program Increment (PI) Planning, bringing cross-functional teams together to plan and prioritize work backlogs for the upcoming PI. Lead Inspect and Adapt (I&A) workshops at the end of each PI, focusing on the identification and resolution of systemic issues and continuous improvement. Team Coaching: Provide guidance and coaching to Agile teams and individuals, helping them understand and embrace Agile practices and principles. Support the development of high-performing, self-organizing teams by offering feedback and guidance on Agile roles and responsibilities. Performance Monitoring: Continuously monitor team velocity performance, progress, and the execution of their commitments. Identify impediments, bottlenecks, and roadblocks that hinder progress, and work with teams to resolve issues promptly. Conflict Resolution: Effectively manage team and priorities conflict and obstacles that may arise within scrum teams, ensuring teams remain focused on their goals and commitments. Encourage open communication, collaboration, and problem-solving among team members. Stakeholder Engagement: Actively engage with stakeholders, Program Managers Business Owners, and Product Owners to understand their needs and provide visibility into the progress and delivery of value. Ensure scrum teams alignment and customer satisfaction. Collaboration: Foster collaboration among scrum teams, Agile Release Trains (ARTs), and other parts of the organization to promote a culture of transparency and shared objectives. Encourage knowledge sharing and cross-team collaboration to leverage synergies and reduce duplication of effort. Training and Development: Support the professional development of Scrum Masters and scrum teams by providing training, guidance, and resources. Encourage continuous learning and skill development to help teams adapt to evolving Agile practices.","Scrum Master Requirements: Bachelor's degree in computer science, information technology, or a relevant field preferred. Certified scrum master, SAFe preferred.3+ years of experience as a scrum master or in a similar role. Working knowledge of agile methodology, techniques, and frameworks, such as Scrum or Kanban. Leadership and management experience. Excellent people and project management skills. Strong communication and presentation skills. Strong analytical and problem-solving skills.",2023-11-01,,,5,7,Experienced (Non-Manager),Bachelor's Degree,,,True,,2,Softec Technologies,Egypt,Cairo,
IT Sales Manager (integrated solutions),"-Excellent knowledge of technical management, information analysis and of computer hardware/software systems.                                                                                                                                                                             ------Providing training and professional development to the sales team-Creating sales goals and implementing initiatives to increase sales-Assisting sales team members to build quality relationships with customers-Collaboration with other company departments, such as Presales or finance, to offer customer support-Developing strategies for increasing market share-Ensuring that sales team members follow up with potential customers-Generating reports and data for sales analysis-Handling escalated client objections and concerns to support other members of the sales team Proven experience of sales details of any of following: HCI and data centerlight current Networks","-Exceptional communication skills to provide leadership to a team and support customers-Ability to lead a customer through the sales process, determining needs, and closing the sale-Strong foundational knowledge in information technology, including hardware, software, and IT services-Comprehensive business knowledge to create realistic sales projections and objectives for the team-Interpersonal skills to liaise with other departments and people within the organization-Extensive mentoring and leadership qualities to train and develop sales team members-Ability to lead by example and act with integrity",2023-11-01,,,4,6,Manager ,,,,True,,1,Injaz Tech for advanced systems,Egypt,Cairo,Heliopolis
Developer Engineer .NET,"The ideal candidate will be responsible for Designing, executing, assessing, and troubleshooting software programs and applications which include: Configuring, analyzing, designing, coding, developing, unit testing and documenting software specifications throughout the project life cycle. Managing multiple simultaneous . NET projects Contributing to the estimates of the project, the quality and timeliness of the deliverables and the project’s compliance to the organizational processes and standards.","Bachelor degree in Computer Science or equivalent. High experience in reporting service. Good Knowledge of mobile application (xamrin). Knowledge in: REST APIs, Ajax and JSONGood Knowledge Web Design (CSS, HTML, Java Script)Good Knowledge in C#, . NET, MVCGood Knowledge SQL Server Excellent in English Excellent Troubleshooting skills Software Developer General purpose:   Establish, develop, implement, and follow up all the applications for ERP modules to satisfy the requirements of the company.",2023-11-01,2,0,1,3,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,,True,,1,Confidential,Egypt,Giza,6th of October
UI UX Designer," Gather and evaluate user requirements in collaboration with product managers and engineers. Illustrate design ideas using storyboards, process flows and sitemaps. Design graphic user interface elements, like menus, tabs and widgets Build page navigation buttons and search fields. Develop UI mockups and prototypes that clearly illustrate how sites function and look like Create original graphic designs (e.g. images, sketches and tables)Prepare and present rough drafts to internal teams and key stakeholders. Identify and troubleshoot UX problems (e.g. responsiveness)Conduct layout adjustments based on user feedback. Adhere to style standards on fonts, colors and images. "," Minimum of 2 years of experience in UI/UX design Gender: Females only Strong and impressive portfolio showcasing your best work is a must. Mastery of design tools, with a particular focus on Figma. Ability to think outside the box and create innovative and visually appealing designs. Excellent communication skills and the ability to collaborate effectively with cross-functional teams. Deep understanding of user-centered design principles and best practices. Strong problem-solving skills and the ability to turn complex requirements into user-friendly designs. Keen eye for detail and a commitment to delivering high-quality work.",2023-11-01,0,0,2,5,Experienced (Non-Manager),,,,True,,1,DX Republic,Egypt,Cairo,
Senior Flutter Developer,"Our candidate will be Responsible For: Design, Build and develop sophisticated and highly scalable mobile apps using Flutter. Build custom packages in Flutter using the functionalities and APIs already available in native Android and IOS. Take ownership of the preparation, production, and timely release of the applications. Ensure the performance, quality, and responsiveness of applications. Continuously discover, evaluate, and implement new technologies to maximize development efficiency. Work with outside data sources and APIs. Follow the best practices while developing the app and also keeping everything structured and well documented. Run functionality testing and debug code. Our Benefits: Medical Insurance. Social Insurance. Training Plan.","Qualifications:5 + Years of experience in mobile development . Experience:+ 3 years in Flutter Development. Experience in Flutter APIs and Capabilities. Experience in offline storage, threading, and performance tuning. Experience in programming SQL databases. Experience with REST/SOAP services integration. Skills with a proven track record of the well-engineered design. Experience in Git source control. Experience in Agile Development Methodologies and object-oriented design techniques and principles. Skills: Excellent written and verbal communication. Teamwork and problem-solving skills, with the ability to interact and communicate successfully with business partners and development teams. Strong analytical and estimation skills with the ability to quickly debug application problems and provide short & to long-term solutions.",2023-11-01,2,0,4,,Experienced (Non-Manager),Bachelor's Degree,,,True,,2,DEVOPSOLUTION,Egypt,Cairo,Nasr City
Software Quality Assurance Engineer (Process Improvement),"
Develops and implements quality assurance problem reporting processes and systems.
Design and deploy processes, and procedures. For organization departments including (Development, Quality Control, PS and CS).
Establish software metrics in order to measure the effectiveness of this process.
Collect the metrics for monitoring and continuous improvement.
Audit to get sure that processes and procedures followed as designed per each department.
Reports progress reports to QA Manager on regular basis
Maintain a keen understanding of SQA trends according to CMMI, developments and best practices.
","BS: Computer Science , Computer Engineering Work Experience2-3 Years’ experience in Quality Assurance position in business applications development life cycle.",2023-11-01,,,2,3,Experienced (Non-Manager),Bachelor's Degree,,,True,,1,BI-Technologies,Egypt,Cairo,New Cairo
Senior .NET Developer,"Developing new software applications. Working closely with business analysts, designers and quality control. Reviewing current systems, and Presenting ideas for system improvement. Combining all elements of the program design. Reacting to problems and correcting the program as necessary. Adapting the program to new requirements, as necessary. Is competent in all or some stages of the systems development life cycle – analysis, design, development and testing, implementation, documentation, and evaluation. Revises software code to make it more efficient and be able to detect bugs in the code. Demonstrates the initiative and method for solving different problems, and propose effective solutions for those problems. Tests their own code before sending it to QC.","More than +3 year of experience. Bachelor’s degree in Computer Science, Software Engineering, or similar field. Strong understanding of object-oriented programming Strong knowledge of . NET framework (C#). Strong in . Net Core, . Net5 and . Net6 Strong Knowledge in Angular 13 or Later Strong Knowledge in ASP. Net MVCStrong Knowledge in Entity framework Strong Knowledge of Java Script Working With API (REST, RPC)Knowledge about TFS Server is preferred High skills in Business Logic and analysis Problem solving skills, high business flexibility aspects, dynamic and initiative person. High presentation skills, interactive/ communication skills Excellent knowledge of English language (written and spoken). Writing clean, readable, and easily maintainable code Excellent troubleshooting and communication skills Attention to details Excellent problem-solving skills. Good verbal and written communication skills Good-level managerial skills. Give Support for Juniors and Mid-Levels",2023-11-01,,,4,,Experienced (Non-Manager),Bachelor's Degree,,,True,,1,Confidential,Egypt,Cairo,Nasr City
Integration Engineer,"Assist in end-to-end implementation of the integration work stream from the requirement gathering and data mapping to production delivery. Assist in defining the integration and dataflow architecture and evaluate vendors’ web services and API capabilities. Identify gaps in available integration services and work on remediation strategies to ensure stability as the underlying platform technologies continue to evolve. Contribute to the development of ODS external-facing API layer for business partner integration; e.g. mobile apps, third-party applications and services. Help assess future API management tools, examining capabilities against requirements and performing validation activities as required. Cooperate with the support teams to resolve production incidents and proactively seek opportunities to develop preventative measures to avoid recurrence. Ensure technical standards and architectural best practices are maintained and optimize system integration performance. Comparing integration approaches and assessing their relative strengths and limitations in terms of meeting business goals. Developing integrations in several technologies and languages such as .net , node js , Java, Oracle SQL, XML, JSON, Web Logic, network basics as well as scripting in Linux.","Bachelor’s degree in Computer Science, Information Technology or equivalent. A minimum of 2 - 4 years’ of experience in successfully delivering high performing application solutions that meets scope, cost, and date parameters. Broad knowledge of enterprise level, commercially available hardware and software products, operating systems, networking systems, and methodologies and tools for integrating web-based products.        5. Good command of Arabic and English.        6. Excellent communication skills (written, verbal and listening): able to communicate technical concepts effectively to a varied audience.        7. Excellent analytical and problem‐solving skills.        8. Able to build partnerships and work well in teams.         9. Self-motivated and enthusiastic; a creative and resourceful independent thinker.      10. Demonstrable commitment to customer-focused service to achieve organisational objectives.      11. Flexible in handling new tasks.      12. Attention to details; ensure deliverables are always of a high quality.      13. Multi‐tasker, with the ability to meet challenging deadlines, and to prioritize and handle multiple projects.",2023-11-01,,,5,14,Manager ,,,,True,,2,Obeikan Digital Solutions,Egypt,Cairo,
Senior Software Quality Control Engineer (Nasr City),"Using the software as intended to analyze its functional properties. Designing test procedures to evaluate each software product. Building, coding, and implementing software evaluation test programs. Running test programs to ensure that testing protocols evaluate the software correctly. Tweaking the software testing systems for maximum performance. Finalizing and documenting testing procedures. Completing final tests and creating test reports. Presenting test reports to management and suggesting software fixes. Executing test scripts and reviewing results. Reporting and documenting technical issues. Review and analyze system specifications. Execute test cases (manual or automated) and analyze results. Report bugs and errors to development teams. Conduct post-release/ post-implementation testing. Work with cross-functional teams to ensure quality throughout the software development life-cycle.","More than 3 years of experience. Bachelor’s degree in Computer Science, Software Engineering, or similar field. Proven work experience as a Software Test Engineer. Strong attention to detail. Ability to collate data and compile test reports. Excellent software troubleshooting skills. Ability to review  UI design Good  knowledge of Api  and      performance  test Prefer having experience with Automation test ",2023-11-01,0,0,3,,Experienced (Non-Manager),Bachelor's Degree,,,True,,1,Confidential,Egypt,Cairo,Nasr City
