company,sector
Caduceus Lane,Marketing and Advertising
Caduceus Lane,Healthcare and Medical Services
Caduceus Lane,Pharmaceuticals
Arabia for Information Technology,Computer Software
Arabia for Information Technology,Information Technology Services
Arabia for Information Technology,Internet/E-commerce
Asass,Construction - Industrial Facilities and Infrastructure
Amer Vision Group,Engineering Services
Millensys,Computer Software
Servmix,Information Technology Services
classera,Information Technology Services
classera,E-Learning
GoodsMart,FMCG
GoodsMart,Internet/E-commerce
Agolo Egypt,Computer Software
eVision,Information Technology Services
SellEnvo,Internet/E-commerce
Kyan Labs,Computer and Network Security
Al Ahly Momkn for e-payment,Banking
Al Ahly Momkn for e-payment,Information Technology Services
ERP-Bank,Accounting and Auditing Services
ERP-Bank,Information Technology Services
ERP-Bank,Financial Services
Arabic Localizer,Computer Software
Arabic Localizer,Translation and Localization
Arabic Localizer,E-Learning
Galaxy Consulting Solutions (G.C.S),Consulting Services
softprograms,Information Technology Services
Sutherland,Telecommunications
Sceel.io,Computer Software
Sceel.io,Outsourcing/Offshoring
Sceel.io,Recruitment and Staffing
Nile Creations,Marketing and Advertising
Nile Creations,Computer Software
Nile Creations,Information Technology Services
34ML,Computer Software
QARA,Information Technology Services
QARA,Internet/E-commerce
QARA,Wholesale Trade
idaco,Manufacturing
WSC,Computer Software
Al Ahly capital holding - Al Ahly Tamkeen,Financial Services
YOUXEl Technology,Information Technology Services
TechJump,Computer Software
ITSS,Computer Software
Robiquity,Information Technology Services
Robiquity,Consulting Services
egabi solutions,Computer Software
egabi solutions,Information Technology Services
Erpplus5,Business Services - Other
Erpplus5,Computer Software
Erpplus5,Information Technology Services
GetTechForce.com,Computer Software
GetTechForce.com,Internet/E-commerce
GetTechForce.com,Recruitment and Staffing
LINK TSP,Computer Software
Efada Technology,Information Technology Services
MedVAlley S.A.E,Alternative Medicine
MedVAlley S.A.E,Healthcare and Medical Services
MedVAlley S.A.E,Medical Devices and Supplies
Trans World Trading,Real Estate/Property Management
Trans World Trading,Retail
Enable,Outsourcing/Offshoring
Dedalus,Information Technology Services
Dedalus,Healthcare and Medical Services
Premier Services and Recruitment,Human Resources
K Line Europe,Medical Devices and Supplies
Link Datacenter,Information Technology Services
Yespays,Apparel and Fashion
Yespays,Computer Networking
Yespays,Retail
Nacita,Automotive
Nacita,Logistics and Supply Chain
Delta Egypt For Lighting,Other - Not Classified
Bydotpy,Computer Software
Bydotpy,Information Technology Services
Cashcall,Accounting and Auditing Services
Lumin,Information Technology Services
SSC Egypt,Information Technology Services
SSC Egypt,Outsourcing/Offshoring
SSC Egypt,Recruitment and Staffing
ENOVA Facilities Management,Energy and Utilities
Callvita,Computer Software
New Energy EV,Automotive
Tawzef,Human Resources
Tawzef,Recruitment and Staffing
Tawzef,Consulting Services
Bevatel,Computer Software
Airpoint,Computer Software
Fixed Solutions,Information Technology Services
Fixed Solutions,Internet/E-commerce
RDI,Computer Software
RDI,Research
RDI,E-Learning
Travolic.LLc,Travel and Tourism
BeConnected,Marketing and Advertising
BeConnected,Information Technology Services
BeConnected,Graphic Design
MegaSoft,Information Technology Services
SABA,Telecommunications
Sarmady,Information Technology Services
Union Coop,Retail
Azdan Business Analytics,Management Consulting
Trufla,Computer Software
Trufla,Insurance
Samcrete Engineers & contractors,Construction - Industrial Facilities and Infrastructure
Samcrete Engineers & contractors,Construction - Residential & Commercial/Office
Samcrete Engineers & contractors,Engineering Services
Victory Link,Marketing and Advertising
CrossWorkers,Information Technology Services
CyberX,Information Technology Services
Expert Apps,Computer Software
Expert Apps,Information Technology Services
FinBi Finance & Banking Consultants International,Consulting Services
Nahr Development,Information Technology Services
EGID company,Information Technology Services
EGID company,Financial Services
Al-Meshka,Other - Not Classified
waffarha.com,Marketing and Advertising
waffarha.com,Financial Services
TREX,Computer Software
TREX,Information Technology Services
TREX,Financial Services
eT3 - Tomorrow Information Technology,Computer Software
AK IT Consulting,Business Services - Other
AK IT Consulting,Computer Software
Dexef,Computer Software
Dexef,Information Technology Services
Noases,Computer Software
Noases,Information Technology Services
Tie House,Apparel and Fashion
Tie House,Textile and Clothing
Tie House,Retail
Edentech,Computer Software
IQRA Network,Education
IQRA Network,E-Learning
Engosoft,Engineering Services
Carpet Land,Other - Not Classified
GET Group- Egypt,Computer Software
GET Group- Egypt,Security and Surveillance
Charisma Design,Computer Software
LABS,Business Services - Other
Decorative Glass And Arab Union Glass Group,Manufacturing
IST Networks,Other - Not Classified
Superior Business Solutions,Information Technology Services
As-Salam International Hospital,Healthcare and Medical Services
Dynamicslink,Information Technology Services
Centione,Marketing and Advertising
Finiex Soft,Marketing and Advertising
Finiex Soft,Computer Software
Finiex Soft,Information Technology Services
ITS,Computer Software
Dorra Group,Real Estate/Property Management
Outservingplus,Outsourcing/Offshoring
Jumia,Internet/E-commerce
Jumia,Retail
Qsource,Information Technology Services
Qsource,Outsourcing/Offshoring
MICA,Education
MICA,Training and Coaching
HITS Solutions,Biotechnology
HITS Solutions,Computer Software
HITS Solutions,Research
9H Capital,Marketing and Advertising
Alouf Travel,Transportation
Alouf Travel,Travel and Tourism
InnovaDigits,Computer Software
InnovaDigits,Consulting Services
DIRAC SYSTEMS,Information Technology Services
Ahmed El-Sallab,Retail
Global Brands,Computer Hardware
Global Brands,Computer Networking
Global Brands,Information Technology Services
intrazero,Computer Software
Dafa,Marketing and Advertising
Dafa,Computer Software
Dafa,Information Technology Services
Mazar construction,Construction - Residential & Commercial/Office
Viavi Solutions,Information Technology Services
Pure Group,Business Services - Other
EELU,Higher Education
EELU,Education
EELU,Training and Coaching
Logistica,Logistics and Supply Chain
Logistica,Warehousing
Estafsar,Information Technology Services
Estafsar,Insurance
Xceed Contact Center,Retail
Xceed Contact Center,Telecommunications
Etisalat Egypt,Telecommunications
United Group For Engineering And Investment,Construction - Residential & Commercial/Office
United Group For Engineering And Investment,Engineering Services
United Group For Engineering And Investment,Environmental Services
Ultimate Academy Not Verified,Computer Software
ثقة الانجاز,Computer Software
ثقة الانجاز,Legal Services
El-Sewedy Electrometer,Manufacturing
qTech.,Computer Software
AGG information technology,Information Technology Services
Art Link,Computer Networking
Art Link,Publishing and Printing
El Sewedy Education - The Knowledge Hub Universities,Education
El Alsson British & American International School,Education
Premium Card,Financial Services
Infotech,Business Services - Other
Infotech,Market Research
Infotech,Research
Roaya,Information Technology Services
Mazaya,Apparel and Fashion
Mazaya,Retail
GS - GEO Solutions,Information Technology Services
TTC Technologies,Computer Software
TTC Technologies,Manufacturing
TTC Technologies,Research
SE Wiring Systems EGYPT,Automotive
scandiweb,Computer Software
scandiweb,Information Technology Services
scandiweb,Internet/E-commerce
ElMotaheda Web,Information Technology Services
ElMotaheda Web,Internet/E-commerce
Egabi FSI,Information Technology Services
Our Education,Computer Software
Our Education,Hospitality/Hotels
Our Education,Education
SMARTTEL,Security and Surveillance
SMARTTEL,Telecommunications
Rashideen Egypt for Trade,FMCG
TEPCO S.A.E. Not Verified,Engineering Services
TEPCO S.A.E. Not Verified,Manufacturing
Expleo,Computer Software
Expleo,Information Technology Services
EAST,Engineering Services
Smartverse,FMCG
Smartverse,Retail
LxT,Information Technology Services
Basata,Computer Software
Basata,Information Technology Services
Azm development,Computer Software
Azm development,Information Technology Services
OdooTec,Computer Software
OdooTec,Information Technology Services
OdooTec,Consulting Services
GLOBAL AUTO,Automotive
GLOBAL AUTO,Manufacturing
Rescounts,Food Services/Restaurants/Catering
Midea Group,Electronics and Semiconductors
AFFSQUARE,Marketing and Advertising
Evolvice GmbH,Computer Software
Evolvice GmbH,Information Technology Services
Evolvice GmbH,Outsourcing/Offshoring
SURE International Technology,Information Technology Services
Aliaict,Information Technology Services
Arabian Advanced Systems,Computer Software
Arabian Advanced Systems,Information Technology Services
Network International -Egypt,Information Technology Services
Network International -Egypt,Financial Services
Network International -Egypt,Internet/E-commerce
Samaya Electronics Egypt LTD,Automotive
EEC Group,Construction - Industrial Facilities and Infrastructure
Kian Alraqmih,Information Technology Services
acwme,Internet/E-commerce
eBSEG,Computer Software
eBSEG,Information Technology Services
Kasrawy Group,Automotive
Samh,Real Estate/Property Management
Measuresoft oil and gas Services,Oil and Gas
Global Academic Foundation Hosting University of Hertfordshire UH,Higher Education
IT Pillars,Information Technology Services
Nature's Rule Egypt LLC,Sports
Statements for Consulting,Financial Services
Ultimate Solutions Egypt,Computer Software
Ultimate Solutions Egypt,Information Technology Services
Kick Start Interactive,Computer Software
INNOVA SOFT,Computer Software
INNOVA SOFT,Engineering Services
Go-live Solutions,Computer Software
Erada,Financial Services
WUZZUF,Computer Software
WUZZUF,Information Technology Services
WUZZUF,Human Resources
Shatta,Textile and Clothing
Intercept Technologies,Marketing and Advertising
Intercept Technologies,Internet/E-commerce
Intercept Technologies,Photography
Nerva,Computer Software
Nerva,Information Technology Services
Nerva,Management Consulting
Nour Eldin Elsherif for Trading vehicles,Automotive
Nour Eldin Elsherif for Trading vehicles,Retail
Tokio Marine Egypt General,Insurance
Mass Technology,Computer Software
Youxel,Information Technology Services
365 Ecology,Construction - Industrial Facilities and Infrastructure
365 Ecology,Construction - Residential & Commercial/Office
365 Ecology,Engineering Services
Amasi,Information Technology Services
Bypa-ss,Information Technology Services
Bypa-ss,Healthcare and Medical Services
Cilantro,Food and Beverage Production
Cilantro,Food Services/Restaurants/Catering
(MSA) October University,Education
Deal,Computer Software
Deal,Internet/E-commerce
Deal,Real Estate/Property Management
SevenCodeApps,Marketing and Advertising
SevenCodeApps,Computer Software
SevenCodeApps,Information Technology Services
CARITech,Banking
CARITech,Computer Software
CARITech,Information Technology Services
Smart Glass Company,Manufacturing
BBI-Consultancy,Computer Software
BBI-Consultancy,Information Technology Services
IKEN Technology,Information Technology Services
Ofoq Consulting,Computer Software
Ofoq Consulting,Information Technology Services
Ofoq Consulting,Consulting Services
Kiromarble for marble and granite,Manufacturing
Golden Gates,Venture Capital and Private Equity
Golden Gates,Consulting Services
YELO,Automotive
Klik,Information Technology Services
sios,Healthcare and Medical Services
Yassien & Partners Law Firm,Law Enforcement
Yassien & Partners Law Firm,Legal Services
Deutschland Technology Limited,Construction - Industrial Facilities and Infrastructure
Spatium Software,Computer Software
Spatium Software,Information Technology Services
Safa International Travel,Travel and Tourism
MCV,Manufacturing
Eg Insurtech,Computer Software
Crevisoft Corporation,Computer Software
Crevisoft Corporation,Information Technology Services
Crevisoft Corporation,Internet/E-commerce
Sulfah,Financial Services
Sulfah,Internet/E-commerce
Egypt Bakery Stores,Food and Beverage Production
Target Integrated Systems,Information Technology Services
Enegix,Business Services - Other
Enegix,Information Technology Services
Alstom,Transportation
RUSHBRUSH INC,Consumer Electronics
RUSHBRUSH INC,Internet/E-commerce
Procoor,Computer Software
Procoor,Electronics and Semiconductors
Procoor,Engineering Services
NCR,Financial Services
Promech Engineering,Engineering Services
Forasna,Business Services - Other
Forasna,Human Resources
Nile Projects & Trading,Apparel and Fashion
Nile Projects & Trading,Automotive
InitRes,Information Technology Services
Seoudi Supermarket,Retail
Ethos International School,Education
Nugttah,Computer Software
Kode Clubs - Hassan Allam Sports Clubs,Sports
Glamera,Information Technology Services
Glamera,"Health, Wellness and Fitness"
Glamera,Personal Care and Services
iNetwork Solutions,Computer and Network Security
iNetwork Solutions,Computer Networking
iNetwork Solutions,Information Technology Services
alfanar,Construction - Industrial Facilities and Infrastructure
alfanar,Energy and Utilities
alfanar,Management Consulting
Town Team,Apparel and Fashion
Town Team,Retail
Signature Technology DMCC,Internet/E-commerce
Mercury Visual Solutions,Media Production
"The Micro, Small & Medium Enterprise Development Agency",Business Services - Other
"The Micro, Small & Medium Enterprise Development Agency",Financial Services
"The Micro, Small & Medium Enterprise Development Agency",Non-Profit Organizations
TechAdemics,Engineering Services
TechAdemics,Education
Upwyde,Real Estate/Property Management
Premier Services and Recruitment Overseas,Recruitment and Staffing
Queen Tech Solutions,Computer Software
Queen Tech Solutions,Information Technology Services
Advanced Solutions,Information Technology Services
engineering tracks,Education
engineering tracks,Training and Coaching
PSH,Computer Software
PSH,Consulting Services
Techno Management,Information Technology Services
Orient,Chemicals
Vzadi.com,Computer and Network Security
Bright Vision,Computer Games
Bright Vision,Computer Software
El Teriak Industrial Group,Agriculture/Fishing/Farming
El Teriak Industrial Group,Automotive
El Teriak Industrial Group,Manufacturing
Zamil Steel Buildings Co,Construction - Industrial Facilities and Infrastructure
Zamil Steel Buildings Co,Mining and Metals
Spark Systems,Computer Software
Spark Systems,Information Technology Services
Spark Systems,Internet/E-commerce
Nadco Kitchen club co,Furniture
Nadco Kitchen club co,Manufacturing
LoadServ,Computer Software
Afaqy,Automotive
Afaqy,Computer Software
Afaqy,Information Technology Services
Sequel Solutions,Outsourcing/Offshoring
2oolAmeme,Computer Games
2oolAmeme,Entertainment
2oolAmeme,Internet/E-commerce
Mc Ledger,Accounting and Auditing Services
Mc Ledger,Information Technology Services
Ibn Sina Pharma,Logistics and Supply Chain
Ibn Sina Pharma,Pharmaceuticals
Dubai Egypt Sweden,Real Estate/Property Management
TA telecom,Information Technology Services
TA telecom,Telecommunications
Al Ahly Medical Company,Healthcare and Medical Services
Al Ahly Medical Company,Insurance
INVENTO,Computer Software
INVENTO,Information Technology Services
Air Arabia,Airlines/Aviation
TensorGraph,Computer Software
Mantrac,Construction - Industrial Facilities and Infrastructure
Mantrac,Retail
Al Amin Technological Systems,Banking
Al Amin Technological Systems,Investment Banking
Options,Outsourcing/Offshoring
Spirawn,Computer Software
Spirawn,Information Technology Services
Softxpert Incorporation,Information Technology Services
Kashier Payment Solutions,Information Technology Services
Kashier Payment Solutions,Financial Services
e Aswaaq Misr,Internet/E-commerce
Smartly,Information Technology Services
Delivery-tech,Marketing and Advertising
Delivery-tech,Information Technology Services
Mimocodes,Computer Software
Mimocodes,Information Technology Services
Mimocodes,Graphic Design
PICO,Agriculture/Fishing/Farming
Arabian Systems,Computer Software
Nile University,Higher Education
A1Softech,Computer Software
A1Softech,Information Technology Services
CompactSoft International,Computer Software
CompactSoft International,Information Technology Services
Health Insights Group,"Health, Wellness and Fitness"
New Plan,Real Estate/Property Management
British University of Egypt,Education
Roya Developments,Real Estate/Property Management
Shifa Egypt,Healthcare and Medical Services
Silicon21,Computer Networking
Silicon21,Information Technology Services
Masria Digital Payment (MDP),Banking
Masria Digital Payment (MDP),Information Technology Services
Masria Digital Payment (MDP),Manufacturing
Tam Development LLC,Information Technology Services
Edu-Zone,Education
Puzzle,Marketing and Advertising
Puzzle,Business Services - Other
Puzzle,Information Technology Services
Guestna,Travel and Tourism
Aman,Retail
Kellogg Tolaram Noodles Egypt LLC,FMCG
Johnson Controls,Engineering Services
Khales,Financial Services
Marketopia,Marketing and Advertising
Marketopia,Media Production
INDEVCO,Manufacturing
Pillars,Human Resources
Pillars,Recruitment and Staffing
EDRAK Software,Computer Software
Transmar International,Other - Not Classified
Interactive Limited/Carma Group,Other - Not Classified
SHAWAHID ROADS INDUSTRIAL COMPANY,Construction - Industrial Facilities and Infrastructure
Melco-Mec Egypt for Elevators & Escalators - Mitsubishi,Engineering Services
Shotmed,Construction - Industrial Facilities and Infrastructure
"Izam, inc.",Computer Software
Objects,Information Technology Services
Royal Investment,Other - Not Classified
COREations,Marketing and Advertising
COREations,Information Technology Services
EpsilonAI,Computer Software
EpsilonAI,Training and Coaching
Universities of Canada in Egypt,Higher Education
El Mohandess Print House,Manufacturing
El Mohandess Print House,Publishing and Printing
Impactyn,Information Technology Services
Fintech solutions,Business Services - Other
Fintech solutions,Information Technology Services
Fintech solutions,Financial Services
Elkenany Group,Marketing and Advertising
Elkenany Group,Agriculture/Fishing/Farming
Elkenany Group,Veterinary
FRIDAL,Chemicals
FRIDAL,FMCG
Arlation Media Services,Broadcasting and Film
Arlation Media Services,Media Production
Arlation Media Services,Translation and Localization
TIC,Construction - Industrial Facilities and Infrastructure
Rednet It Services,Computer Software
Rednet It Services,Information Technology Services
Moltaqa,Marketing and Advertising
Moltaqa,Computer Software
Moltaqa,Information Technology Services
Konnekt Union,Information Technology Services
Integrated Technology Group,Computer Software
iSON Xperiences Egypt,Outsourcing/Offshoring
Order King,Other - Not Classified
Finding From Egy,Marketing and Advertising
Finding From Egy,Agriculture/Fishing/Farming
Finding From Egy,Food and Beverage Production
TMA For Industrial Supplies,Engineering Services
Ether Technology,Information Technology Services
Egyptian Integration,Computer Software
appcorp,Information Technology Services
appcorp,Telecommunications
Parkville Pharmaceuticals,Pharmaceuticals
Dolf,Information Technology Services
Lecon,Architectural and Design Services
Lecon,Engineering Services
RTR Software Solutions,Computer Software
RTR Software Solutions,Information Technology Services
InstaShop,Internet/E-commerce
شركه طنطا موتورز,Engineering Services
شركه طنطا موتورز,Manufacturing
شركه طنطا موتورز,Wholesale Trade
Max Muscle,"Health, Wellness and Fitness"
Max Muscle,Healthcare and Medical Services
Max Muscle,Retail
Majorel Egypt,Outsourcing/Offshoring
Fawry Microfinance,Accounting and Auditing Services
cCc callcenter and Digital Marketing,Marketing and Advertising
cCc callcenter and Digital Marketing,Outsourcing/Offshoring
Solutions,Marketing and Advertising
Intelcia,Telecommunications
Ascon Advanced Solutions & Consultant,Computer Software
Ascon Advanced Solutions & Consultant,Information Technology Services
شيلتر تكنولوجي,Computer Software
شيلتر تكنولوجي,Information Technology Services
Chaizer,Computer Hardware
Chaizer,Computer Software
Sinmar Soft,Computer Software
Peerless,Marketing and Advertising
Peerless,Computer Software
Peerless,Information Technology Services
Quick Services,Computer Software
Quick Services,Information Technology Services
Post Distribution Company,Logistics and Supply Chain
Post Distribution Company,Recruitment and Staffing
Balanced Education Company,Education
Balanced Education Company,Training and Coaching
Delta American School,Education
Shahbandr,Marketing and Advertising
Shahbandr,Computer Software
Shahbandr,Retail
Loc-Camp,Translation and Localization
BRISK Business Inc.,Management Consulting
BRISK Business Inc.,Training and Coaching
ORGANI GROUP,Construction - Residential & Commercial/Office
ORGANI GROUP,Import and Export
ORGANI GROUP,Real Estate/Property Management
Mohandes Life Insurance,Insurance
Seena - سينا,Financial Services
Rubyred Garment,Manufacturing
ZINAD IT,Information Technology Services
Shebak,Information Technology Services
Windrose Academy,Education
British Council,Higher Education
British Council,Education
British Council,Training and Coaching
Multi Level Group (MLG),Information Technology Services
EVA Cosmetics,Cosmetics
Al Rabat,Construction - Industrial Facilities and Infrastructure
Al Rabat,Construction - Residential & Commercial/Office
Al Rabat,Real Estate/Property Management
Interact Technology Solutions,Computer and Network Security
Interact Technology Solutions,Computer Software
Interact Technology Solutions,Information Technology Services
Al Soug-Cashi,Computer Software
Egypt Kuwait Holding,Investment Banking
WORLD OF BUSINESS,Marketing and Advertising
taknia systems,Computer Software
Orange Studio,Computer Software
Waseet.net,Marketing and Advertising
Waseet.net,Computer Software
Waseet.net,Retail
Target Recruitment  & HR Solutions,Human Resources
Micro Engineering,Computer Software
Micro Engineering,Energy and Utilities
Micro Engineering,Engineering Services
Horizon Not Verified,Recruitment and Staffing
Indegree,Marketing and Advertising
Indegree,Computer Software
Indegree,Information Technology Services
Hands of Hope Physical Therapy & Wellness,Healthcare and Medical Services
Ulemt,Marketing and Advertising
Ulemt,Banking
Ulemt,Financial Services
Data Science,Information Technology Services
Elabd Foods,FMCG
Elabd Foods,Food and Beverage Production
AL MASHARIQ,Construction - Residential & Commercial/Office
AL MASHARIQ,Energy and Utilities
Elite Education Group,Education
Thaka International,Information Technology Services
Talaat Moustafa Group,Real Estate/Property Management
Talaat Moustafa Group,Retail
Bluebell Pharmaceuticals,Cosmetics
Bluebell Pharmaceuticals,Pharmaceuticals
Grifols Egypt for Plasma Derivatives,Healthcare and Medical Services
Grifols Egypt for Plasma Derivatives,Pharmaceuticals
StudentGator,Information Technology Services
StudentGator,Education
Coral Technology,Computer Software
GPS,Publishing and Printing
INTERNET SOLUTIONS,Internet/E-commerce
VFS Global Egypt,Travel and Tourism
National Technology,Information Technology Services
Selah ElTelmeez For Publishing & printing,Education
Selah ElTelmeez For Publishing & printing,Publishing and Printing
Selah ElTelmeez For Publishing & printing,E-Learning
Webhelp,Outsourcing/Offshoring
Webhelp,Recruitment and Staffing
Selftreat,Computer Software
Human Quality,Human Resources
Itechs,Computer and Network Security
Itechs,Computer Software
Itechs,Information Technology Services
Aman Holding,Financial Services
Aman Holding,Healthcare and Medical Services
Aman Holding,Retail
Staron Egypt,Architectural and Design Services
Staron Egypt,Construction - Industrial Facilities and Infrastructure
IT Cores,Business Services - Other
IT Cores,Computer Software
IT Cores,Information Technology Services
ZE LOGIC,Information Technology Services
Brilliant Engineering,Engineering Services
Brilliant Engineering,Logistics and Supply Chain
UMX Studio,Computer Games
ESLSCA University,Higher Education
ESLSCA University,Education
Ebla,Computer Software
Ebla,Information Technology Services
webSTDY,Computer Software
webSTDY,Information Technology Services
Ditech Egypt,Information Technology Services
Rowaad,Computer Software
Advansys for Trading & Contracting,Engineering Services
URANIUM,Information Technology Services
Dreem Mashreq Foods,FMCG
Be Group,Marketing and Advertising
FlexFilms Egypt,Manufacturing
FlexFilms Egypt,Packaging and Containers
FlexFilms Egypt,Plastics
